Station_Name,Day_Type,Time_Bin,Boardings,Alightings,Total
Jordanville,Normal Weekday,20:00–00:00,0.33182503770739064,8.681749622926093,9.013574660633484
Jordanville,Normal Weekend,00:00–04:00,0,5.009940357852883,5.009940357852883
Jordanville,Normal Weekend,04:00–08:00,1.6828193832599119,0.07929515418502203,1.7621145374449338
Jordanville,Normal Weekend,08:00–12:00,8.388566694283346,2.431648715824358,10.820215410107703
Jordanville,Normal Weekend,12:00–16:00,6.8675568386863945,5.499819559725731,12.367376398412127
Jordanville,Normal Weekend,16:00–20:00,5.3054298642533935,8.054298642533936,13.35972850678733
Jordanville,Normal Weekend,20:00–00:00,1.3863636363636365,7.534090909090909,8.920454545454545
Jordanville,Public Holiday,00:00–04:00,0,4.2,4.2
Jordanville,Public Holiday,04:00–08:00,1.1724137931034482,0.06896551724137931,1.2413793103448274
Jordanville,Public Holiday,08:00–12:00,6.754966887417218,1.6556291390728477,8.410596026490065
Jordanville,Public Holiday,12:00–16:00,6.842105263157895,4.984520123839009,11.826625386996904
Jordanville,Public Holiday,16:00–20:00,3.6184210526315788,7.368421052631579,10.986842105263158
Jordanville,Public Holiday,20:00–00:00,0.7786885245901639,5.491803278688525,6.270491803278689
Jordanville,School Holiday,00:00–04:00,0,4.565217391304348,4.565217391304348
Jordanville,School Holiday,04:00–08:00,11.114206128133704,0.009285051067780872,11.123491179201485
Jordanville,School Holiday,08:00–12:00,11.642036124794746,0.8812260536398467,12.523262178434592
Jordanville,School Holiday,12:00–16:00,3.587641866330391,4.9621689785624215,8.549810844892813
Jordanville,School Holiday,16:00–20:00,2.959349593495935,13.506775067750677,16.466124661246614
Jordanville,School Holiday,20:00–00:00,0.3800786369593709,8.571428571428571,8.951507208387943
Flagstaff,Normal Weekday,00:00–04:00,2.2021943573667713,0.7210031347962382,2.9231974921630095
Flagstaff,Normal Weekday,04:00–08:00,12.490934449093444,31.78521617852162,44.27615062761507
Flagstaff,Normal Weekday,08:00–12:00,20.05575826095894,59.08191582301249,79.13767408397143
Flagstaff,Normal Weekday,12:00–16:00,25.822230267921796,10.95003620564808,36.77226647356988
Flagstaff,Normal Weekday,16:00–20:00,42.49201511642082,12.26795074972571,54.75996586614653
Flagstaff,Normal Weekday,20:00–00:00,11.90594431903687,5.36719337848006,17.27313769751693
Flagstaff,Normal Weekend,00:00–04:00,2.413127413127413,1.4285714285714286,3.8416988416988413
Flagstaff,Normal Weekend,04:00–08:00,4.723275208491281,6.785443517816527,11.508718726307809
Flagstaff,Normal Weekend,08:00–12:00,12.992155397833395,16.55335574648238,29.545511144315775
Flagstaff,Normal Weekend,12:00–16:00,14.567553992968358,14.947262682069312,29.51481667503767
Flagstaff,Normal Weekend,16:00–20:00,11.143471252015045,12.580333154218163,23.723804406233207
Flagstaff,Normal Weekend,20:00–00:00,6.062465142219743,8.047964305633018,14.110429447852761
Flagstaff,Public Holiday,00:00–04:00,2.272727272727273,1.0606060606060606,3.3333333333333335
Flagstaff,Public Holiday,04:00–08:00,3.888888888888889,5.218855218855219,9.107744107744107
Flagstaff,Public Holiday,08:00–12:00,11.769172361427486,13.097949886104784,24.867122247532272
Flagstaff,Public Holiday,12:00–16:00,12.769037130270611,12.76274386406545,25.53178099433606
Flagstaff,Public Holiday,16:00–20:00,7.577854671280277,8.77508650519031,16.352941176470587
Flagstaff,Public Holiday,20:00–00:00,5.147058823529412,5.828877005347594,10.975935828877006
Flagstaff,School Holiday,00:00–04:00,3.309090909090909,1.2727272727272727,4.581818181818182
Flagstaff,School Holiday,04:00–08:00,10.888426166926948,24.535832031927814,35.42425819885476
Flagstaff,School Holiday,08:00–12:00,17.187852788439827,44.85775570106119,62.045608489501014
Flagstaff,School Holiday,12:00–16:00,19.009508716323296,10.424722662440571,29.43423137876387
Flagstaff,School Holiday,16:00–20:00,34.25586353944563,11.511727078891258,45.76759061833688
Flagstaff,School Holiday,20:00–00:00,10.8416500332668,7.245508982035928,18.087159015302728
Melbourne Central,Normal Weekday,00:00–04:00,11.064162754303599,1.1737089201877935,12.237871674491393
Melbourne Central,Normal Weekday,04:00–08:00,6.400621613006057,31.546461587503984,37.94708320051004
Melbourne Central,Normal Weekday,08:00–12:00,16.578277961920914,84.51887253012667,101.09715049204759
Melbourne Central,Normal Weekday,12:00–16:00,81.71510885817439,48.16381605338974,129.87892491156413
Melbourne Central,Normal Weekday,16:00–20:00,94.69342197850193,30.360808482760294,125.05423046126222
Melbourne Central,Normal Weekday,20:00–00:00,55.54033714629741,12.910897049969897,68.45123419626731
Melbourne Central,Normal Weekend,00:00–04:00,14.343629343629344,3.030888030888031,17.374517374517374
Melbourne Central,Normal Weekend,04:00–08:00,5.719711355867831,8.5833649829092291,14.30307633877706
Melbourne Central,Normal Weekend,08:00–12:00,24.845425081027177,55.86761406133134,80.71303914235851
Melbourne Central,Normal Weekend,12:00–16:00,65.58324123379886,64.21079071636693,129.7940319501658
Melbourne Central,Normal Weekend,16:00–20:00,78.2191927866037,42.842421640188924,121.06161442679263
Melbourne Central,Normal Weekend,20:00–00:00,41.450863830577745,18.290915846182425,59.741779676760174
Melbourne Central,Public Holiday,00:00–04:00,9.393939393939394,1.3636363636363635,10.757575757575758
Melbourne Central,Public Holiday,04:00–08:00,4.30976430976431,6.717171717171717,11.026936026936028
Melbourne Central,Public Holiday,08:00–12:00,20.70615034168565,45.63401670463174,66.34016704631739
Melbourne Central,Public Holiday,12:00–16:00,53.92947103274559,54.5528967254408,108.4823677581864
Melbourne Central,Public Holiday,16:00–20:00,62.71784232365145,33.810511756569845,96.5283540802213
Melbourne Central,Public Holiday,20:00–00:00,36.43048128342246,15.066844919786096,51.49732620320856
Melbourne Central,School Holiday,00:00–04:00,12.779783393501805,1.3357400722021662,14.115523465703971
Melbourne Central,School Holiday,04:00–08:00,4.869791666666667,24.40798611111111,29.27777777777778
Melbourne Central,School Holiday,08:00–12:00,14.425378189207496,68.94897268006322,83.37435086927071
Melbourne Central,School Holiday,12:00–16:00,73.04229848363927,50.31125299281724,123.35355147645652
Melbourne Central,School Holiday,16:00–20:00,84.24554329371817,27.709040747028862,111.95458404074704
Melbourne Central,School Holiday,20:00–00:00,54.880159786950735,13.049267643142477,67.92942743009321
Parliament,Normal Weekday,00:00–04:00,5.971786833855799,0.48589341692789967,6.4576802507836994
Parliament,Normal Weekday,04:00–08:00,8.500277359537206,45.53886995799984,54.03914731753705
Parliament,Normal Weekday,08:00–12:00,16.85304715244835,85.01386836716178,101.86691551961013
Parliament,Normal Weekday,12:00–16:00,43.825841045982074,18.891214925811664,62.71705597179374
Parliament,Normal Weekday,16:00–20:00,71.63524885789853,17.388795383505652,89.02404424140418
Parliament,Normal Weekday,20:00–00:00,24.164599774520855,5.411499436302142,29.576099210822996
Parliament,Normal Weekend,00:00–04:00,5.996592844974447,0.6303236797274276,6.626916524701874
